Array Size,Serial Time,Parallel Time
100000,0.0146667,0.0496667
200000,0.0298333,0.0496667
300000,0.0416667,0.0511667
400000,0.0566667,0.0553333
500000,0.0718333,0.0586667
600000,0.086,0.0651667
700000,0.0913333,0.0541667
800000,0.104833,0.058
900000,0.113167,0.0605
1000000,0.123,0.0613333
