Array Size,Serial Time,Parallel Time
100000,0.0166667,0.0306667
200000,0.0336667,0.0321667
300000,0.0486667,0.033
400000,0.0621667,0.038
500000,0.0765,0.043
600000,0.0895,0.0413333
700000,0.102333,0.0415
800000,0.098,0.0401667
900000,0.1155,0.0435
1000000,0.146667,0.0503333
