Array Size,Serial Time,Parallel Time
100000,0.012,0.0035
200000,0.027,0.00875
300000,0.04175,0.012
400000,0.057,0.019
500000,0.07275,0.02425
600000,0.0885,0.024
700000,0.10475,0.032
800000,0.11975,0.035
900000,0.1355,0.04025
1000000,0.1605,0.04475
